Модуль ошибки
Время, с	Ошибка, м
732801600	24.7363
732801610	25.6559
732801620	25.7614
732801630	26.5574
732801640	26.1084
732801650	25.9188
732801660	26.8952
732801670	26.8336
732801680	27.3373
732801690	27.785
732801700	26.4167
732801710	26.9484
732801720	27.1158
732801730	27.9146
732801740	28.4158
732801750	28.3585
732801760	28.3438
732801770	28.1492
732801780	28.4498
732801790	29.342
732801800	29.3568
732801810	29.7559
732801820	29.8899
732801830	30.2755
732801840	30.5191
732801850	30.5694
732801860	30.9397
732801870	31.3182
732801880	31.4353
732801890	31.7615
732801900	32.2005
732801910	32.3232
732801920	32.7327
732801930	32.4595
732801940	32.8727
732801950	32.7167
732801960	33.0689
732801970	33.6528
732801980	33.5488
732801990	34.0396
732802000	34.2271
732802010	34.6494
732802020	34.3061
732802030	35.4199
732802040	35.2701
732802050	35.2014
732802060	35.7806
732802070	35.4409
732802080	35.2825
732802090	35.6267
732802100	34.8416
732802110	34.8419
732802120	34.7945
732802130	34.9411
732802140	35.0245
732802150	35.3591
732802160	35.3191
732802170	35.6502
732802180	36.0407
732802190	35.9202
732802200	36.2907
732802210	37.4885
732802220	37.3481
732802230	37.8261
732802240	38.2036
732802250	38.4735
732802260	36.535
732802270	36.7398
732802280	36.9843
732802290	36.8268
732802300	37.178
732802310	37.3228
732802320	37.845
732802330	38.0586
732802340	38.1987
732802350	36.8926
732802360	36.5861
732802370	37.8034
732802380	37.4515
732802390	37.4418
732802400	37.6015
732802410	37.6985
732802420	37.3572
732802430	37.6957
732802440	37.8953
732802450	37.5024
732802460	37.424
732802470	37.2483
732802480	37.201
732802490	37.2525
732802500	37.6326
732802510	37.5173
732802520	37.1621
732802530	36.9507
732802540	37.133
732802550	37.6899
732802560	37.1394
732802570	37.074
732802580	36.8111
732802590	35.9717
732802600	36.5408
732802610	36.366
732802620	36.2116
732802630	36.4585
732802640	36.1716
732802650	36.1078
732802660	35.8892
732802670	35.6158
732802680	35.0718
732802690	35.0769
732802700	35.5656
732802710	36.5456
732802720	36.1019
732802730	36.1457
732802740	36.0704
732802750	35.6016
732802760	34.1464
732802770	34.1686
732802780	34.0425
732802790	33.626
732802800	33.3219
732802810	33.065
732802820	33.2935
732802830	32.7182
732802840	32.8331
732802850	32.4508
732802860	32.0601
732802870	31.8695
732802880	31.8031
732802890	31.751
732802900	31.6294
732802910	31.4314
732802920	31.1753
732802930	31.2021
732802940	30.7544
732802950	30.7216
732802960	30.2943
732802970	30.0416
732802980	29.7427
732802990	29.3717
732803000	29.2028
732803010	28.9916
732803020	28.7987
732803030	28.6652
732803040	28.4997
732803050	28.0075
732803060	27.8331
732803070	27.4378
732803080	27.1756
732803090	26.8795
732803100	26.8365
732803110	26.2929
732803120	26.3664
732803130	25.8159
732803140	25.4311
732803150	25.0647
732803160	26.3221
732803170	25.8464
732803180	25.6473
732803190	24.7903
732803200	24.6312
732803210	23.8732
732803220	23.5813
732803230	23.2783
732803240	22.7165
732803250	23.0295
732803260	22.9112
732803270	22.536
732803280	21.6448
732803290	21.6393
732803300	21.3976
732803310	20.9215
732803320	20.3333
732803330	20.295
732803340	19.6567
732803350	19.516
732803360	19.3387
732803370	18.6979
732803380	18.3311
732803390	17.6318
732803400	17.7422
732803410	17.4187
732803420	17.0488
732803430	16.5675
732803440	16.4355
732803450	15.4537
732803460	15.236
732803470	14.6658
732803480	14.31
732803490	14.0104
732803500	13.8464
732803510	13.5521
732803520	13.2614
732803530	12.6972
732803540	12.3772
732803550	11.9458
732803560	11.2887
732803570	11.3271
732803580	10.6515
732803590	10.1509
732803600	9.80954
732803610	9.38795
732803620	9.64919
732803630	8.83359
732803640	8.27202
732803650	7.83436
732803660	7.83627
732803670	7.18643
732803680	6.51254
732803690	7.02298
732803700	6.03897
732803710	5.27556
732803720	5.40779
732803730	4.98671
732803740	4.11817
732803750	4.4688
732803760	4.80189
732803770	5.0176
732803780	4.08095
732803790	3.52819
732803800	3.88987
732803810	2.71075
732803820	3.34087
732803830	6.31699
732803840	8.64575
732803850	8.83376
732803860	7.75022
732803870	6.45777
732803880	8.4222
732803890	8.92029
732803900	3.87806
732803910	4.13669
732803920	4.52965
732803930	5.06871
732803940	6.04453
732803950	5.70132
732803960	5.72055
732803970	6.64053
732803980	6.28832
732803990	5.77807
732804000	6.23833
732804010	6.80682
732804020	7.35967
732804030	9.15274
732804040	10.8296
732804050	11.4235
732804060	8.92291
732804070	9.23092
732804080	9.63993
732804090	9.73818
732804100	10.3158
732804110	10.6254
732804120	10.974
732804130	12.3796
732804140	12.7577
732804150	13.4231
732804160	13.7003
732804170	14.063
732804180	14.1131
732804190	15.1189
732804200	15.946
732804210	15.8889
732804220	16.2376
732804230	16.8303
732804240	17.7272
732804250	17.9977
732804260	17.6381
732804270	18.6063
732804280	19.0655
732804290	19.6834
732804300	20.1778
732804310	20.9211
732804320	20.7154
732804330	20.7467
732804340	21.6315
732804350	21.9929
732804360	21.7211
732804370	21.9552
732804380	21.6627
732804390	22.4203
732804400	23.3553
732804410	23.9906
732804420	23.9415
732804430	24.1209
732804440	24.151
732804450	24.2375
732804460	25.6687
732804470	26.0271
732804480	26.5718
732804490	26.9519
732804500	27.1123
732804510	28.2953
732804520	28.7436
732804530	25.6654
732804540	26.0947
732804550	26.7421
732804560	26.7714
732804570	27.4225
732804580	27.8292
732804590	27.7672
732804600	28.1261
732804610	28.2486
732804620	29.058
732804630	28.9449
732804640	29.1464
732804650	29.6961
732804660	29.7655
732804670	30.0701
732804680	30.3547
732804690	30.2957
732804700	31.1787
732804710	30.9696
732804720	31.4676
732804730	31.7796
732804740	31.9497
732804750	32.2954
732804760	32.4286
732804770	32.9479
732804780	33.3144
