Количество видимых спутников	Время, с	Кол-во
0	15
765374410,9
765374420,9
765374430,9
765374440,9
765374450,9
765374460,8
765374470,9
765374480,9
765374490,9
765374500,9
765374510,9
765374520,9
765374530,8
765374540,8
765374550,9
765374560,9
765374570,9
765374580,9
765374590,9
765374600,9
765374610,8
765374620,8
765374630,8
765374640,8
765374650,8
765374660,8
765374670,8
765374680,8
765374690,8
765374700,8
765374710,8
765374720,8
765374730,8
765374740,8
765374750,8
765374760,8
765374770,8
765374780,8
765374790,8
765374800,8
765374810,8
765374820,9
765374830,8
765374840,8
765374850,8
765374860,8
765374870,9
765374880,10
765374890,9
765374900,9
765374910,9
765374920,10
765374930,10
765374940,10
765374950,10
765374960,10
765374970,10
765374980,10
765374990,10
765375000,10
765375010,10
765375020,10
765375030,10
765375040,10
765375050,10
765375060,10
765375070,10
765375080,10
765375090,10
765375100,9
765375110,9
765375120,9
765375130,9
765375140,9
765375150,9
765375160,9
765375170,9
765375180,10
765375190,10
765375200,10
765375210,10
765375220,10
765375230,10
765375240,10
765375250,10
765375260,10
765375270,10
765375280,10
765375290,10
765375300,10
765375310,10
765375320,10
765375330,10
765375340,10
765375350,10
765375360,10
765375370,10
765375380,10
765375390,10
765375400,10
765375410,10
765375420,10
765375430,10
765375440,10
765375450,10
765375460,10
765375470,9
765375480,10
765375490,10
765375500,10
765375510,9
765375520,9
765375530,8
765375540,8
765375550,7
765375560,6
765375570,6
765375580,6
765375590,6
765375600,6
765375610,6
765375620,6
765375630,6
765375640,6
765375650,7
765375660,7
765375670,7
765375680,8
765375690,8
765375700,8
765375710,8
765375720,8
765375730,8
765375740,8
765375750,8
765375760,8
765375770,9
765375780,9
765375790,10
765375800,10
765375810,10
765375820,10
765375830,10
765375840,9
765375850,10
765375860,10
765375870,10
765375880,10
765375890,10
765375900,10
765375910,10
765375920,10
765375930,10
765375940,10
765375950,10
765375960,10
765375970,10
765375980,9
765375990,9
765376000,9
765376010,9
765376020,9
765376030,8
765376040,7
765376050,7
765376060,7
765376070,7
765376080,9
765376090,8
765376100,8
765376110,8
765376120,8
765376130,8
765376140,8
765376150,8
765376160,8
765376170,8
765376180,8
765376190,8
765376200,9
765376210,9
765376220,9
765376230,8
765376240,8
765376250,9
765376260,9
765376270,9
765376280,9
765376290,8
765376300,8
765376310,9
765376320,9
765376330,9
765376340,8
765376350,9
765376360,9
765376370,9
765376380,9
765376390,9
765376400,8
765376410,9
765376420,9
765376430,7
765376440,9
765376450,9
765376460,9
765376470,9
765376480,10
765376490,10
765376500,9
765376510,9
765376520,7
765376530,7
765376540,7
765376550,7
765376560,7
765376570,8
765376580,8
765376590,7
765376600,7
765376610,8
765376620,7
765376630,7
765376640,8
765376650,7
765376660,7
765376670,8
765376680,8
765376690,8
765376700,8
765376710,8
765376720,8
765376730,7
765376740,7
765376750,7
765376760,7
765376770,8
765376780,8
765376790,8
765376800,7
765376810,7
765376820,7
765376830,7
765376840,8
765376850,8
765376860,9
765376870,9
765376880,9
765376890,9
765376900,9
765376910,9
765376920,9
765376930,9
765376940,9
765376950,8
765376960,8
765376970,9
765376980,8
765376990,8
765377000,8
765377010,8
765377020,7
765377030,7
765377040,7
765377050,7
765377060,7
765377070,7
765377080,8
765377090,8
765377100,8
765377110,8
765377120,8
765377130,8
765377140,8
765377150,8
765377160,8
765377170,8
765377180,7
765377190,7
765377200,7
765377210,7
765377220,7
765377230,7
765377240,7
765377250,7
765377260,7
765377270,7
765377280,7
765377290,8
765377300,8
765377310,8
765377320,7
765377330,7
765377340,8
765377350,8
765377360,8
765377370,8
765377380,8
765377390,9
765377400,9
765377410,9
765377420,9
765377430,9
765377440,8
765377450,8
765377460,8
765377470,8
765377480,8
765377490,8
765377500,8
765377510,8
765377520,7
765377530,8
765377540,7
765377550,7
765377560,7
765377570,7
765377580,6
765377590,6
765377600,6
765377610,6
765377620,6
765377630,6
765377640,6
765377650,6
765377660,6
765377670,6
765377680,7
765377690,7
765377700,7
765377710,7
765377720,7
765377730,7
765377740,8
765377750,8
765377760,8
765377770,8
765377780,9
765377790,9
765377800,9
765377810,8
765377820,9
765377830,8
765377840,7
765377850,7
765377860,7
765377870,7
765377880,7
765377890,8
765377900,9
765377910,9
765377920,9
765377930,9
765377940,9
765377950,9
765377960,10
765377970,9
765377980,9
765377990,9
765378000,9
765378010,9
765378020,9
765378030,9
765378040,9
765378050,9
765378060,9
765378070,10
765378080,10
765378090,10
765378100,10
765378110,10
765378120,10
765378130,10
765378140,10
765378150,10
765378160,10
765378170,10
765378180,10
765378190,10
765378200,10
765378210,10
765378220,10
765378230,10
765378240,10
765378250,10
765378260,10
765378270,10
765378280,10
765378290,10
765378300,10
765378310,10
765378320,10
765378330,10
765378340,11
765378350,11
765378360,10
765378370,10
765378380,10
765378390,10
765378400,10
765378410,10
765378420,10
765378430,10
765378440,9
765378450,10
765378460,10
765378470,10
765378480,10
765378490,10
765378500,10
765378510,10
765378520,10
765378530,10
765378540,10
765378550,10
765378560,9
765378570,9
765378580,9
765378590,8
765378600,9
765378610,9
765378620,9
765378630,10
765378640,10
765378650,10
765378660,10
765378670,10
765378680,9
765378690,8
765378700,8
765378710,8
765378720,9
765378730,9
765378740,9
765378750,9
765378760,9
765378770,10
765378780,9
765378790,9
765378800,9
765378810,9
765378820,9
765378830,9
765378840,9
765378850,9
765378860,9
765378870,9
765378880,9
765378890,9
765378900,9
765378910,9
765378920,8
765378930,9
765378940,9
765378950,9
765378960,8
765378970,9
765378980,9
765378990,9
765379000,9
765379010,8
765379020,8
